atoms,charge,origin,bond1,bond2
23,0.1191751451742225,C,[8],"[1, 23]"
5,0.05747049100838261,C,[1],"[1, 3, 8]"
5,0.03991594898202411,C,[1],"[1, 5, 15]"
5,0.03991594898202411,C,[1],"[1, 5, 15]"
71,0.10228509129358683,C,[15],[1]
28,0.16379696495952126,C,[10],"[1, 3]"
5,0.061695253184748194,C,[1],"[1, 3, 10]"
5,0.04035580713151781,C,[1],"[1, 5, 15]"
5,0.04035580713151781,C,[1],"[1, 5, 15]"
71,0.10230260983214624,C,[15],[1]
5,0.10662460971413364,C,[3],"[1, 7]"
8,-0.31757984808093054,R8,"[1, 23, 23]","[1, 1, 3]"
1,0.09250971783603948,R8,"[1, 1, 3, 8]","[1, 5, 5, 5, 5, 5, 7, 10, 23, 23]"
1,-0.026262363257546665,R8,"[1, 1, 5, 5]","[1, 1, 3, 5, 5, 8]"
1,-0.05105193683109595,R8,"[1, 1, 5, 5]","[1, 1, 5, 5, 5, 5]"
1,-0.05321203278424487,R8,"[1, 1, 5, 5]","[1, 1, 5, 5, 5, 5]"
1,-0.053009666213488016,R8,"[1, 1, 5, 5]","[1, 1, 5, 5, 5, 5]"
1,-0.049825005949186485,R8,"[1, 1, 5, 5]","[1, 2, 5, 5, 5, 5]"
1,-0.03507346734826949,R8,"[1, 2, 5, 5]","[1, 2, 5, 5, 5]"
2,-0.08853928215607074,R8,"[1, 2, 5]","[1, 1, 5, 5, 5]"
1,-0.037945009077080906,R8,"[1, 5, 5, 5]","[1, 3, 8]"
3,0.2400693817639421,R8,"[1, 7, 10]","[1, 1, 1, 8, 28]"
