atoms,charge,origin,bond1,bond2
5,0.06449603052556921,0,[37],"[37, 37]"
5,0.06326084556295992,0,[37],"[37, 37]"
5,0.06496942130396992,0,[37],"[37, 37]"
5,0.07018192836055662,0,[37],"[37, 37]"
5,0.0661991340449836,0,[37],"[37, 37]"
5,0.06301589363266437,0,[37],"[37, 37]"
29,0.29309553553513473,0,[6],[37]
5,0.06301589363266437,0,[37],"[37, 37]"
5,0.0661991340449836,0,[37],"[37, 37]"
5,0.07018192836055662,0,[37],"[37, 37]"
29,0.29309553553513473,0,[6],[37]
28,0.16239238479913665,0,[10],"[1, 3]"
5,0.04961870445296096,0,[1],"[1, 5, 10]"
5,0.04961870445296096,0,[1],"[1, 5, 10]"
5,0.03852043365345985,0,[1],"[1, 3, 5]"
5,0.03852043365345985,0,[1],"[1, 3, 5]"
28,0.16389929773178025,0,[10],"[1, 3]"
5,0.06601781017490187,0,[1],"[1, 3, 10]"
5,0.06249656207140893,0,[1],"[1, 1, 6]"
21,0.21055973312760834,0,[6],[1]
5,0.02576597956814057,0,[1],"[1, 5, 5]"
5,0.02576597956814057,0,[1],"[1, 5, 5]"
5,0.02576597956814057,0,[1],"[1, 5, 5]"
28,0.16388233642325392,0,[10],"[1, 3]"
5,0.06321629299125738,0,[1],"[1, 3, 10]"
5,0.02941620948365306,0,[1],"[1, 1, 5]"
5,0.02941620948365306,0,[1],"[1, 1, 5]"
5,0.02999061185734793,0,[1],"[1, 1, 5]"
5,0.02999061185734793,0,[1],"[1, 1, 5]"
5,0.06641541171030135,0,[1],"[1, 5, 56]"
5,0.06641541171030135,0,[1],"[1, 5, 56]"
36,0.2595680374756318,0,[56],"[1, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
28,0.16388084536996406,0,[10],"[1, 3]"
5,0.06322943878344099,0,[1],"[1, 3, 10]"
5,0.029816277026980757,0,[1],"[1, 1, 5]"
5,0.029816277026980757,0,[1],"[1, 1, 5]"
5,0.03675719892504103,0,[1],"[1, 3, 5]"
5,0.03675719892504103,0,[1],"[1, 3, 5]"
28,0.15909984192478022,0,[10],"[3, 28]"
28,0.15909984192478022,0,[10],"[3, 28]"
28,0.16386779685545794,0,[10],"[1, 3]"
5,0.06291556835742279,0,[1],"[1, 3, 10]"
5,0.02566878824767402,0,[1],"[1, 5, 5]"
5,0.02566878824767402,0,[1],"[1, 5, 5]"
5,0.02566878824767402,0,[1],"[1, 5, 5]"
28,0.1638804201281038,0,[10],"[1, 3]"
5,0.06321627694578721,0,[1],"[1, 3, 10]"
5,0.02941620942209624,0,[1],"[1, 1, 5]"
5,0.02941620942209624,0,[1],"[1, 1, 5]"
5,0.02999061185723373,0,[1],"[1, 1, 5]"
5,0.02999061185723373,0,[1],"[1, 1, 5]"
5,0.06641541171030126,0,[1],"[1, 5, 56]"
5,0.06641541171030126,0,[1],"[1, 5, 56]"
36,0.2595680374756318,0,[56],"[1, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
28,0.1638806033589721,0,[10],"[1, 3]"
5,0.06321628001286425,0,[1],"[1, 3, 10]"
5,0.029416209433585902,0,[1],"[1, 1, 5]"
5,0.029416209433585902,0,[1],"[1, 1, 5]"
5,0.029990611857254792,0,[1],"[1, 1, 5]"
5,0.029990611857254792,0,[1],"[1, 1, 5]"
5,0.06641541171030127,0,[1],"[1, 5, 56]"
5,0.06641541171030127,0,[1],"[1, 5, 56]"
36,0.2595680374756318,0,[56],"[1, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
28,0.16389732544554764,0,[10],"[1, 3]"
5,0.06376306164170473,0,[1],"[1, 3, 10]"
5,0.039375103545160835,0,[1],"[1, 3, 5]"
5,0.039375103545160835,0,[1],"[1, 3, 5]"
28,0.15910138401218532,0,[10],"[3, 28]"
28,0.15910138401218532,0,[10],"[3, 28]"
28,0.16388082821906855,0,[10],"[1, 3]"
5,0.06321628022611077,0,[1],"[1, 3, 10]"
5,0.029416209434434504,0,[1],"[1, 1, 5]"
5,0.029416209434434504,0,[1],"[1, 1, 5]"
5,0.029990611857256395,0,[1],"[1, 1, 5]"
5,0.029990611857256395,0,[1],"[1, 1, 5]"
5,0.06641541171030127,0,[1],"[1, 5, 56]"
5,0.06641541171030127,0,[1],"[1, 5, 56]"
36,0.2595680374756318,0,[56],"[1, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
36,0.25626985443970096,0,[56],"[36, 57]"
28,0.16388060335246596,0,[10],"[1, 3]"
5,0.06321627847751231,0,[1],"[1, 3, 10]"
5,0.029416209427970748,0,[1],"[1, 1, 5]"
